headword	orig order	re1	re2
nur Bares ist Wahres	2013	nur Bares ist Wahres	
nur die Spitze des Eisbergs sein	2014	die Spitze des Eisbergs	nur + die Spitze des Eisbergs + SEIN
nur mit dem Finger schnippen müssen	2015	mit dem Finger + schnippen + MÜSSEN	
nur mit dem Finger schnipsen müssen	2016	mit dem Finger + schnipsen + MÜSSEN	
nur noch ein Schatten seiner selbst sein	2017	ein Schatten + SEING selbst + SEIN	
nur über meine Leiche	2018	über SEINFA Leiche	
Nägel mit Köpfen machen	2019	Nägel mit Köpfen + MACHEN	
oben ohne	2020	oben ohne	
ohne eine Miene zu verziehen	2021	ohne eine Miene zu verziehen	
ohne mit der Wimper zu zucken	2022	ohne mit der Wimper zu zucken	
ohne Moos nichts los	2023	ohne Moos nichts los	
ohne Moos nix los	2024	ohne Moos nix los	
ohne Punkt und Komma	2025	ohne Punkt und Komma	
ohne Unterlass	2026	ohne Unterlass	
ohne Wenn und Aber	2027	ohne Wenn und Aber	
ohne Zahl	2028	ohne Zahl	
Optik schieben	2029	Optik + SCHIEBEN	
ortsfest wie ein Schneemann sein	2030	ortsfest + wie ein Schneemann	
pacta sunt servanda	2031	pacta sunt servanda	
panta rhei	2032	panta rhei	
par ordre du mufti	2033	par ordre du mufti	
Paroli bieten	2034	Paroli + BIETEN	
passen wie die Faust aufs Auge	2035	wie die Faust aufs Auge	
Pate stehen	2036	Pate + STEHEN	
per du sein	2037	per su + SEIN	
per Taille	2038	per Taille	
Perlen vor die Säue werfen	2039	Perlen vor die Säue + WERFEN	
peu à peu	2040	peu à peu	
Pfeifendeckel	2041	Pfeifendeckel	
Pfiffkas	2042	Pfiffkas	
pfui Teufel	2043	pfui Teufel	
Pi mal Daumen	2044	Pi mal Daumen	
Pipi in den Augen haben	2045	Pipi in den Augen	
polnische Wirtschaft	2046	polnische Wirtschaft + MANUAL_REVIEW	
post festum	2047	post festum	
pro bono	2048	pro bono	
pro Nase	2049	pro Nase	
Protokoll errichten	2050	Protokoll + erricht	
Pusteblume	2051	\bPusteblume	
Pustekuchen	2052	Pustekuchen	
päpstlicher als der Papst sein	2053	päpstlicher + als der Papst + SEIN	
pünktlich wie die Maurer	2054	pünktlich + wie die Maurer	
Quadratur des Kreises	2055	Quadratur des Kreises	
Quark mit Soße	2056	Quark mit Soße	
Quatsch mit Sauce	2057	Quatsch mit Sauce	
Quatsch mit Soße	2058	Quatsch mit Soße	
quod erat demonstrandum	2059	quod erat demonstrandum	
quod erat faciendum	2060	quod erat faciendum	
Ratte der Lüfte	2061	Ratte der Lüfte	
rauchen wie ein Schlot	2062	wie ein Schlot	
Rechenschaft ablegen	2063	Rechenschaft + \bab(\b|leg|zulegen|gelegt) + _LEGEN	Rechenschaft + \bab(\b|l|z|g) + _LEGEN
recht in der Annahme gehen	2064	recht in der Annahme + GEHEN	
reden wie ein Wasserfall	2065	wie ein Wasserfall	
rein in die Kartoffeln, raus aus den Kartoffeln	2066	rein in die Kartoffeln + raus aus den Kartoffeln	
Reißaus nehmen	2067	Reißaus + NEHMEN	
reißenden Absatz finden	2068	reißenden Absatz + FINDEN	
requiescat in pace	2069	requiescat in pace	
Rheumatismus zwischen Daumen und Zeigefinger haben	2070	Rheumatismus zwischen Daumen und Zeigefinger + HABEN	
Rosinen im Kopf haben	2071	Rosinen im Kopf + HABEN	große Rosinen im Kopf + HABEN
Ross und Reiter nennen	2072	Ross und Reiter + NENNEN	
rote Zahlen schreiben	2073	rote Zahlen + SCHREIBEN	
roter Faden	2074	\b([Rr]ote[rnm]? Faden)\b	
Rotz und Wasser heulen	2075	Rotz und Wasser + heul	
ruhig Blut bewahren	2076	ruhig Blut + \bbewahr	
Rücken haben	2077	Rücken + HABEN + MANUAL_REVIEW	
Sachen gibts, die gibts gar nicht	2078	Sachen gibts + die gibts gar nicht	
Sachen gibt’s, die gibt’s gar nicht	2079	Sachen gibt’s + die gibt’s gar nicht	
sag bloß	2080	sag bloß	
sage und schreibe	2081	sage und schreibe	
saufen wie ein Loch	2082	wie ein Loch + sauf	
Schas mit Quasteln	2083	Schas mit Quasteln	
scheiß der Hund drauf	2084	scheiß der Hund drauf	
Scheiße bauen	2085	Scheiß(e) + BAUEN	
Schicht im Schacht	2086	Schicht im Schacht	
schief gewickelt sein	2087	schief gewickelt + SEIN	
schimpfen wie ein Rohrspatz	2088	wie ein Rohrspatz	
schlafen wie ein Murmeltier	2089	wie ein Murmeltier + SCHLAFEN	
schlafen wie ein Stein	2090	wie ein Stein + SCHLAFEN	
schlecht beieinander sein	2091	schlecht beieinander + SEIN	
schlecht und recht	2092	schlecht und recht	
schlechte Karten haben	2093	schlechte Karten + HABEN	
Schluss machen	2094	Schluss + MACHEN	
Schluss mit lustig	2095	Schluss mit lustig	
Schlösser in die Luft bauen	2096	Schlösser in die Luft + BAUEN	
Schmetterlinge im Bauch haben	2097	Schmetterlinge im Bauch + HABEN	
Schmiere stehen	2098	Schmiere + STEHEN	
Schmonzes mit Lakritzen	2099	Schmonzes mit Lakritzen	
schmutzige Wäsche waschen	2100	schmutzige + Wäsche	
Schnecken	2101	Schnecken + MANUAL_REVIEW	
Schnee von gestern	2102	Schnee von gestern	
schreien wie am Spieß	2103	wie am Spieß	
Schritt für Schritt	2104	Schritt für Schritt	
Schrödingers Arschloch	2105	Schrödingers Arschloch	
Schulter an Schulter	2106	Schulter an Schulter	
Schwamm drüber	2107	Schwamm drüber	
schwarz auf weiß	2108	schwarz auf weiß	
schwarze Zahlen schreiben	2109	schwarze Zahlen + SCHREIBEN	
Schwein haben	2110	Schwein + HABEN + MANUAL_REVIEW	
schweren Herzens	2111	schweren Herzens	
schweres Geschütz auffahren	2112	\b[Ss]chwere[smn]? Geschütz + \bauf(\b|f|z|g) + _FAHREN	
Seemannsgarn spinnen	2113	Seemannsgarn + spinn	
sehenden Auges	2114	sehenden Auges	
sein blaues Wunder erleben	2115	\b[Bb]laue[smn]? Wunder + \berleb	
sein Damaskus erleben	2116	SEINNA Damaskus + \berleb	
sein Dasein fristen	2117	Dasein + frist	
sein greises Haupt schütteln	2118	SEINNA greises Haupt + schütt(el|le)	
sein Herz auf den Lippen tragen	2119	SEINNA Herz + auf den Lippen + TRAGEN	
sein Herz auf der Zunge tragen	2120	SEINNA Herz + auf der Zunge + TRAGEN	
sein Ithaka finden	2121	SEINNA Ithaka + FINDEN	
sein Leben lassen	2122	SEINNA Leben + LASSEN	
sein Leben selbst in die Hand nehmen	2123	sein Leben + selbst + in die Hand + NEHMEN	
sein Mäntelchen nach dem Wind hängen	2124	SEINNA Mäntelchen + nach dem Wind + häng	
sein Scherflein beitragen	2125	SEINNA Scherflein + \bbei(\b|t|z|g) + _TRAGEN	
sein Schäfchen ins Trockene bringen	2126	sein Schäfchen ins Trockene + BRINGEN	
sein Wasser abschlagen	2127	sein Wasser + \bab(\b|s|z|g) + _SCHLAGEN	
seine Felle wegschwimmen sehen	2128	SEINPA Felle wegschwimmen + SEHEN	
seine Füße finden	2129	SEINFA Füße + FINDEN	
seine Haut so teuer wie möglich verkaufen	2130	SEINFA Haut so teuer wie möglich + verkauf	
seine Klappe halten	2131	SEINFA Klappe + HALTEN	
seine Notdurft verrichten	2132	Notdurft + verricht	
seine Pappenheimer kennen	2133	seine Pappenheimer	
seine Schäfchen im Trockenen haben	2134	Schäfchen + im Trockenen + HABEN	
seine Schäfchen ins Trockene bringen	2135	seine Schäfchen ins Trockene + BRINGEN	
seine Schäflein im Trockenen haben	2136	SEINFA Schäflein + im Trockenen + HABEN	
seine Schäflein ins Trockene bringen	2137	seine Schäflein ins Trockene + BRINGEN	
seine Siebensachen packen	2138	SEINPA Siebensachen + pack	
seine Zelte abbrechen	2139	SEINPA Zelte + \bab(\b|br.ch|zubrechen|gebrochen) + _BRECHEN	SEINPA Zelte + \bab(\b|b|z|g) + _BRECHEN
seinem Herzen Luft machen	2140	SEINMND Herzen + Luft + MACHEN	
seinem Ärger Luft machen	2141	(seinem|ihrem|unserem|meinem) Ärger + Luft + MACHEN	
seinen Arsch verwetten	2142	SEINMA Arsch + verwetten	
seinen Augen nicht trauen	2143	SEINPD Augen nicht + TRAUEN	
seinen Beitrag leisten	2144	SEINMA Beitrag + leiste	
seinen Dreh nicht kriegen	2145	SEINMA Dreh + nicht + KRIEGEN	
seinen Frieden mit etwas machen	2146	SEINMA Frieden mit + MACHEN	
seinen Geist aufgeben	2147	SEINMA Geist \bauf(\b|z|g) + _GEBEN	
seinen Geist aushauchen	2148	SEINMA Geist + \baus + hauch	
seinen Hut nehmen	2149	SEINMA Hut + NEHMEN	den Hut + NEHMEN
seinen Jürgen würgen	2150	SEINMA Jürgen + würg	
seinen Lauf nehmen	2151	seinen Lauf + NEHMEN	
seinen Mann stehen	2152	SEINMA Mann + STEHEN	
seinen Schnitt machen	2153	einen Schnitt + MACHEN	
seinen Segen zu etwas geben	2154	SEINMA Segen zu + GEBEN	
seinen Senf dazugeben	2155	SEINMA Senf + \bdazu(\b|zugeben|g) + _GEBEN	SEINMA Senf + \bdazu(\b|z|g) + _GEBEN
seinen Tag von Damaskus erleben	2156	SEINMA Tag von Damaskus + \berleb	
seines Zeichens	2157	seines Zeichens	
selber essen macht fett	2158	selber essen macht fett	
seligen Angedenkens	2159	seligen Angedenkens	
seltsame Blüten treiben	2160	seltsame Blüten + TREIBEN	
shit happens	2161	shit happens	
sich alle zehn Finger abschlecken können	2162	alle zehn Finger + abschlecken + KÖNNEN + SICH	
sich am Riemen reißen	2163	am Riemen + REIẞEN + SICH	
sich an die eigene Nase fassen	2164	an die eigene Nase + fass + SICH	
sich an etwas die Zunge abbrechen	2165	die Zunge + \bab(\b|b|z|g) + _BRECHEN + SICH	
sich an etwas die Zähne ausbeißen	2166	an + die Zähne + \baus(\b|b|z|g) + _BEIẞEN + SICH	
sich an etwas machen	2167	an + MACHEN + SICH + MANUAL_REVIEW	
sich an jemandes Fersen heften	2168	an + Fersen + heft + SICH	
sich anheischig machen	2169	anheischig + MACHEN + SICH	
sich Asche aufs Haupt streuen	2170	Asche aufs Haupt + streu + SICH	
sich auf den Hosenboden setzen	2171	auf den Hosenbodne + SETZEN + SICH	
sich auf die faule Haut legen	2172	auf die faule Haut + LEGEN + SICH	
sich auf die Socken machen	2173	auf die Socken + MACHEN + SICH	
sich auf die Zunge beißen	2174	auf die Zunge + BEIẞEN + SICH	
sich auf Französisch empfehlen	2175	auf Französich + EMPFEHLEN + SICH	
sich auf Französisch verabschieden	2176	auf Französisch + verabschied + SICH	
sich auf seine vier Buchstaben setzen	2177	auf SEINPA vier Buchstaben + SETZEN + SICH	
sich auf seinen Lorbeeren ausruhen	2178	auf SEINMA Lorbeeren + \baus(\b|r|z|g) + AUSRUHEN + SICH	
sich aufs Ohr hauen	2179	aufs Ohr + HAUEN + SICH	
sich aufs Ohr legen	2180	aufs Ohr + LEGEN + SICH	
sich aus dem Fenster lehnen	2181	aus dem Fenster + lehn + SICH	
sich aus dem Staub machen	2182	aus dem Staub + MACHEN + SICH	
sich aus dem Staube machen	2183	aus dem Staube + MACHEN + SICH	
sich aus der Klemme ziehen	2184	aus der Klemme + ZIEHEN + SICH	
sich ausschütten vor Lachen	2185	vor Lachen + \baus(\b|s|z|g) + schütte + SICH	
sich bei jemandem sehen lassen	2186	bei + sehen + LASSEN + SICH	
sich benehmen wie die Axt im Walde	2187	wie + Axt + im Walde + BENEHMEN + SICH	
sich bis auf die Knochen blamieren	2188	bis auf die Knochen + blamier + SICH	
sich blind verstehen	2189	blind + VERSTEHEN + SICH	
sich das Leben nehmen	2190	das Leben + NEHMEN + SICH	
sich das Wasser abschlagen	2191	das Wasser + \bab(\b|s|z|g) + _SCHLAGEN + SICH	
sich den Arsch aufreißen	2192	den Arsch + \bauf(\b|r|z|g) + _REIẞEN + SICH	
sich den Bauch vollschlagen	2193	den Bauch + \bvoll(\b|s|z|g) + _SCHLAGEN + SICH	
sich den Hals abdrehen	2194	den Hals + \bab(\b|d|z|g) + dreh + SICH	
sich den Kopf zerbrechen	2195	den Kopf + ZERBRECHEN + SICH	
sich den Mund fusselig reden	2196	den Mund fusselig + REDEN + SICH	
sich den Schneid abkaufen lassen	2197	den Schneid + abkaufen + LASSEN + SICH	
sich den Schuh nicht anziehen	2198	den Schuch + nicht + \ban(\b|z|z|g) + _ZIEHEN + SICH	
sich den Wolf laufen	2199	den Wolf + LAUFEN + SICH	
sich die Augen ausweinen	2200	die Augen + \baus(\b|w|z|g) + wein + SICH	
sich die Beine in den Bauch stehen	2201	die Beine in den Bauch + SICH	
sich die Beine in den Leib stehen	2202	die Beine in den Leib + SICH	
sich die besten Rosinen herauspicken	2203	die besten Rosinen + \bheraus(\b|p|z|g) + pick + SICH	
sich die dicksten Rosinen herauspicken	2204	die dicksten Rosinen + \bheraus(\b|p|z|g) + pick + SICH	
sich die Eier schaukeln	2205	die Eier + schauk(el|le) + SICH	
sich die Finger abarbeiten	2206	die Finger + \bab(\b|a|z|g) + arbeite + SICH	
sich die Finger schmutzig machen	2207	die Finger + schmutzig + MACHEN + SICH	
sich die größten Rosinen herauspicken	2208	die größten Rosinen + \bheraus(\b|p|z|g) + pick + SICH	
sich die Hand geben	2209	die Hand + GEBEN + SICH	
sich die Hörner abstoßen	2210	die Hörner + \bab(\b|s|z|g) + _STOẞEN + SICH	
sich die Kante geben	2211	die Kante + GEBEN + SICH	
sich die Kehle anfeuchten	2212	die Kehle + \ban(\b|f|z|g) + feucht + SICH	
sich die Klinke in die Hand geben	2213	die Klinke in die Hand + GEBEN + SICH	
sich die Nacht um die Ohren schlagen	2214	die Nacht um die Ohren + SCHLAGEN + SICH	
sich die Nille verbrannt haben	2215	die Nille verbrannt + HABEN + SICH	
sich die Rosinen aus dem Kuchen picken	2216	die Rosinen aus dem Kuchen + pick + SICH	
sich die Rosinen herauspicken	2217	die Rosinen + \bheraus(\b|p|z|g) + pick + SICH	
sich die Seele aus dem Leib weinen	2218	die Seele aus dem Leib + wein + SICH	
sich durchs Leben schlagen	2219	durchs Leben + SCHLAGEN + SICH	
sich ein Bild von etwas machen	2220	ein Bild + von + MACHEN + SICH	
sich ein Bild von jemandem machen	2221	ein Bild + von + MACHEN + SICH	
sich ein Ei legen	2222	ein Ei + LEGEN + SICH	
sich ein Herz fassen	2223	ein Herz + fass + SICH	
sich ein Monogramm in den Hintern beißen	2224	ein Monogramm + in den Hintern + BEIẞEN + SICH	
sich eine goldene Nase verdienen	2225	eine goldene Nase + verdien + SICH	
sich einen abasten	2226	\bab(\b|a|z|g) + ABASTEN + SICH	
sich einen abfrieren	2227	einen + \bab(\b|f|z|g) + _FRIEREN + SICH + MANUAL_REVIEW	
sich einen Ast lachen	2228	einen Ast + lach + SICH	
sich einen feuchten Kehricht für etwas interessieren	2229	einen feuchten Kehricht + interessier + SICH	
sich einen feuchten Kehricht um etwas kümmern	2230	einen feuchten Kehricht + kümmer + SICH	
sich einen feuchten Kehricht um etwas scheren	2231	einen feuchten Kehricht + scher + SICH	
sich einen guten Abgang verschaffen	2232	einen guten Abgang + verschaff + SICH	
sich einen hinter die Binde gießen	2233	einen hinter die Binde + GIEẞEN + SICH	
sich einen hinter die Binde kippen	2234	einen hinter die Binde + kipp + SICH	
sich einen Klotz ans Bein binden	2235	einen Klotz + ans Bein + BINDEN + SICH	
sich einen Reim auf etwas machen	2236	keinen Reim darauf machen + KÖNNEN + SICH	
sich einen Ruck geben	2237	einen Ruck + GEBEN + SICH	
sich einen schlanken Fuß machen	2238	einen schlanken Fuß + MACHEN + SICH	
sich einen Spreißel einziehen	2239	einen Spreißel + \bein(\b|z|z|g) + _ZIEHEN + SICH	
sich einen Stiefel einbilden	2240	einen Stiefel + \bein(\b|b|z|g) + bild + SICH	
sich einen von der Palme wedeln	2241	einen von der Palme + wed(el|le) + SICH	
sich einen Wolf laufen	2242	einen Wolf + LAUFEN + SICH	
sich eins feixen	2243	eins feixen + SICH	
sich entschuldigen lassen	2244	entschuldigen + LASSEN + SICH	
sich etwas auf die Fahne schreiben	2245	auf die Fahnen + SCHREIBEN + SICH	
sich etwas aus den Fingern saugen	2246	aus den Fingern + SAUGEN + SICH	
sich etwas durch den Kopf gehen lassen	2247	durch den Kopf gehen + LASSEN + SICH	
sich etwas durch die Lappen gehen lassen	2248	durch die Lappen gehen + LASSEN + SICH	
sich etwas gefallen lassen	2249	gefallen + LASSEN + SICH	
sich etwas hinter die Ohren schreiben	2250	hinter die Ohren + SCHREIBEN + SICH	
sich etwas ins Bewusstsein rufen	2251	ins Bewusstsein + RUFEN + SICH	
sich etwas unter den Nagel reißen	2252	unter den Nagel + REIẞEN + SICH	
sich etwas zu Gemüte führen	2253	zu Gemüte + FÜHREN + SICH	
sich etwas zur Brust nehmen	2254	zur Brust + NEHMEN + SICH	
sich etwas zwischen die Kiemen schieben	2255	zwischen die Kiemen + SCHIEBEN + SICH	
sich französisch empfehlen	2256	französisch + EMPFEHLEN + SICH	
sich französisch verabschieden	2257	französisch + verabschied + SICH	
sich freuen wie ein Schneekönig	2258	wie ein Schneekönig + freu + SICH	
sich für jemanden die Hand abschlagen lassen	2259	für + die Hand abschlagen + LASSEN + SICH	
sich gehen lassen	2260	gehen + LASSEN + SICH	
sich gerädert fühlen	2261	gerädert + FÜHLEN + SICH	
sich grün und blau ärgern	2262	grün und blau + ÄRGERN + SICH	
sich häuslich einrichten	2263	häuslich + \bein(\b|r|z|g) + richt + SICH	
sich im freien Fall befinden	2264	im freien Fall + BEFINDEN + SICH	
sich im Kreis bewegen	2265	im Kreis + beweg + SICH	
sich im Kreis drehen	2266	im Kreis + dreh + SICH	
sich in Acht nehmen	2267	in Acht + NEHMEN + SICH	
sich in anderen Umständen befinden	2268	in anderen Umständen + BEFINDEN + SICH	
sich in den Haaren liegen	2269	in den Haaren + LIEGEN + SICH	
sich in die Brust werfen	2270	in die Brust + WERFEN + SICH	
sich in die eigene Tasche lügen	2271	in die Tasche + LÜGEN + SICH	
sich in die Falle hauen	2272	in die Falle + HAUEN + SICH	
sich in die Haare fahren	2273	in die Haare + FAHREN + SICH	
sich in die Haare geraten	2274	in die Haare + GERATEN + SICH	in die Haare + LIEGEN
sich in die Haare kriegen	2275	in die Haare + KRIEGEN + SICH	
sich in die Hose machen	2276	in die Hose + MACHEN + SICH	
sich in die Höhle des Löwen begeben	2277	in die Höhle des Löwen + BEGEBEN + SICH	
sich in die Höhle des Löwen wagen	2278	in die Höhle des Löwen + WAGEN + SICH	
sich in die Riemen legen	2279	in die Riemen + LEGEN + SICH	
sich in die Ruder legen	2280	in die Ruder + LEGEN + SICH	
sich in ein gemachtes Bett legen	2281	in ein gemachtes Bett + LEGEN + SICH	
sich in geistige Unkosten stürzen	2282	in geistige Unkosten + stürz + SICH	
sich in Grenzen halten	2283	in Grenzen + HALTEN + SICH	
sich in Luft auflösen	2284	in Luft + \bauf(\b|lös|zulösen|gelöst) + AUFLÖSEN + SICH	in Luft + \bauf(\b|l|z|g) + AUFLÖSEN + SICH
sich in Schale schmeißen	2285	in Schale + SCHMEIẞEN + SICH	
sich in Schale werfen	2286	in Schale + WERFEN + SICH	
sich in seine Bestandteile auflösen	2287	in SEINPA Bestandteile + \bauf(\b|l|z|g) + AUFLÖSEN + SICH	
sich in Szene setzen	2288	in Szene + SETZEN + SICH	
sich in Wohlgefallen auflösen	2289	in Wohlgefallen + \bauf(\b|l|z|g) + AUFLÖSEN + SICH	
sich ins eigene Fleisch schneiden	2290	ins eigene Fleisch + SCHNEIDEN + SICH	
sich ins Fäustchen lachen	2291	ins Fäustchen + lach + SICH	
sich ins gemachte Bett legen	2292	ins gemachte Bett + LEGEN + SICH	
sich ins Hemd machen	2293	ins Hemd + MACHEN + SICH	
sich ins Knie ficken	2294	ins Knie + fick + SICH	
sich ins Koma saufen	2295	ins Koma + sauf + SICH	
sich ins Zeug legen	2296	ins Zeug + LEGEN + SICH	
sich jemanden zur Brust nehmen	2297	zur Brust + NEHMEN + SICH	
sich kein Bein ausreißen	2298	kein Bein + \baus(\b|r|z|g) + _REIẞEN + SICH	
sich keine Spinne übers Maul wachsen lassen	2299	keine Spinne + übers Maul wachsen + LASSEN + SICH	
sich keine Verzierung abbrechen	2300	keine Verzierung + \bab(\b|b|z|g) + _BRECHEN + SICH	
sich keinen abbrechen	2301	keinen + \bab(\b|b|z|g) + _BRECHEN + SICH	
sich krümmen wie ein Aal	2302	wie ein Aal + krümm + SICH	
sich lieber die Zunge abbeißen	2303	lieber + die Zunge + \bab(\b|b|z|g) + _BEIẞEN + SICH	
sich mit fremden Federn schmücken	2304	mit fremden Federn + schmück + SICH	
sich nicht die Butter vom Brot nehmen lassen	2305	nicht die Butter vom Brot nehmen + LASSEN + SICH	
sich nicht in die Karten schauen lassen	2306	nicht in die Karten + schauen + LASSEN + SICH	
sich nicht lumpen lassen	2307	nicht lumpen + LASSEN + SICH	
sich nichts schenken	2308	nichts + schenk + SICH	
sich nützlich machen	2309	nützlich + MACHEN + SICH	
sich schadlos halten	2310	schadlos + HALTEN + SICH	
sich schwarz ärgern	2311	schwarz + ÄRGERN + SICH	
sich um jeden Hosenknopf kümmern	2312	um jeden Hosenknopf + kümmer + SICH	
sich um Kopf und Kragen reden	2313	um Kopf und Kragen + REDEN + SICH	
sich verkaufen wie geschnitten Brot	2314	wie geschnitten Brot + verkauf + SICH	
sich vom Acker machen	2315	vom Acker + MACHEN + SICH	
sich von jemandem eine Scheibe abschneiden können	2316	eine Scheibe + abschneiden + KÖNNEN + SICH	
sich vor Lachen ausschütten	2317	vor Lachen + \baus(\b|s|z|g) + schütte + SICH	
sich vor seinem eigenen Schatten fürchten	2318	vor SEINMND eigenen Schatten + fürcht + SICH	
sich wie ein Elefant im Porzellanladen benehmen	2319	wie ein Elefant + im Porzellanladen + BENEHMEN + SICH	
sich wie gerädert fühlen	2320	wie gerädert + FÜHLEN + SICH	
sich winden wie ein Aal	2321	ein Aal + wie + WINDEN + SICH	
sich zu Tode lachen	2322	zu Tode + lach + SICH	
sich zu Tode saufen	2323	zu Tode + sauf + SICH	
sich zum Affen machen	2324	zum Affen + MACHEN + SICH	
sich zum Narren machen	2325	zum Narren + MACHEN + SICH	
sich über etwas im Klaren sein	2326	über + im Klaren + SEIN + SICH	
sicher wie in Abrahams Schoß	2327	sicher + wie in Abrahams Schoß	
